bus,CCGT,EU_import,OCGT,advanced_biofuel,biogas,biomass,coal,embedded_solar,embedded_wind,landfill_gas,large_hydro,load_shedding,nuclear,oil,sewage_gas,shoreline_wave,small_hydro,solar_pv,tidal_stream,waste_to_energy,wind_offshore,wind_onshore
HVDC_External_Belgium_Zeebrugge,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_France_Calais,0.0,3988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z10,2978.0,0.0,600.0,16.3,27.4,131.20000000000002,0.0,0.0,0.0,21.8,0.0,10.0,0.0,0.0,0.0,0.0,0.0,674.46,0.0,19.599999999999998,5580.7,238.4
Z11,810.0,0.0,150.0,103.4,26.6,16.4,0.0,565.2588103946899,487.409948542024,76.9,0.0,4757.483361921098,0.0,0.0,9.7,0.0,1.7,971.37,0.0,322.6,0.0,204.6
Z12,3340.0,0.0,344.0,0.0,49.1,144.2,500.0,1048.084044273488,903.7392795883363,37.5,0.0,8821.16706689537,1198.0,51.0,1.2,0.0,0.0,1393.21,0.0,187.5,774.0,381.6
Z13,0.0,0.0,0.0,49.0,29.5,129.79,0.0,211.97205389800882,182.77873070325904,49.0,0.0,1784.056260720412,0.0,0.0,6.7,0.0,8.4,1834.42,0.0,115.5,0.0,1012.1
Z14,1123.0,0.0,50.0,20.2,36.9,90.8,0.0,883.2168912417031,761.5780445969125,132.79999999999998,0.0,7433.567753001715,0.0,144.0,23.6,0.0,0.0,373.26,0.0,577.9,0.0,44.1
Z15,1560.0,0.0,0.0,0.0,3.2,41.0,0.0,588.8112608278021,507.71869639794164,57.3,0.0,4955.711835334477,0.0,0.0,0.0,0.0,0.0,432.61,0.0,100.9,2111.3,157.4
Z16,4933.0,0.0,94.0,13.3,20.0,4.7,0.0,565.2588103946899,487.409948542024,59.699999999999996,0.0,4757.483361921098,0.0,290.0,0.0,0.0,0.0,1150.71,0.0,68.3,400.0,2.0
Z17,4338.0,0.0,100.0,3.9,20.3,1.5,0.0,176.64337824834067,152.31560891938253,28.8,0.0,1486.713550600343,0.0,140.0,0.0,23.0,0.0,1399.72,0.0,63.3,0.0,238.1
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,67.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,21.2
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8
Z1_3,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,0.0,1.0,18.0,0.2,10.0,0.0,598.0,1003.9
Z1_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.65735129933624,60.926243567753,0.0,348.5,594.6854202401372,0.0,0.0,0.0,0.0,58.0,0.3,0.0,0.0,0.0,728.0
Z2,1180.0,0.0,0.0,0.0,7.0,22.0,0.0,105.98602694900441,91.38936535162952,10.7,0.0,892.028130360206,0.0,0.0,0.0,0.0,2.0,36.35,0.0,11.1,2201.3,1232.75
Z3,0.0,0.0,0.0,0.0,1.5,78.3,0.0,58.8811260827802,50.77186963979416,2.9,26.0,495.57118353344765,0.0,0.0,0.0,0.0,40.6,26.58,0.0,25.6,0.0,446.90000000000003
Z4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.5,0.0,0.0,15.7,0.0,0.0,79.0,0.0,511.3
Z5,0.0,0.0,0.0,66.5,20.7,78.6,0.0,376.8392069297934,324.9399656946827,71.4,0.0,3171.6555746140652,1200.0,6.0,0.0,0.0,0.0,20.33,0.0,100.3,7.0,2597.65
Z6,0.0,0.0,0.0,10.0,8.2,99.4,0.0,58.8811260827802,50.77186963979416,3.7,0.0,495.57118353344765,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,174.0,2316.4
Z7,0.0,0.0,0.0,0.0,20.799999999999997,521.7,0.0,129.5384773821165,111.69811320754718,31.5,0.0,1090.256603773585,1185.0,0.0,6.0,0.0,0.0,94.89,0.0,82.3,103.5,488.65
Z8,5528.0,0.0,60.0,25.0,40.0,2782.1,0.0,588.8112608278021,507.71869639794164,41.7,0.0,4955.711835334477,0.0,0.0,3.0,0.0,0.0,153.84,0.0,385.4,0.0,619.7
Z9,2455.0,0.0,60.0,49.5,27.2,75.0,0.0,1436.699476419837,1238.8336192109775,124.8,32.0,12091.936878216124,2300.0,0.0,0.0,0.0,4.5,428.05,0.0,354.3,2729.2,544.9
