name,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,cyclic_delay,p_nom_opt,interconnector_name,counterparty_country,commissioning_year,source,flow_type
Z1_3-Z1_1,Z1_3,Z1_1,,DC,1.0,True,0,inf,3500.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z1_3-Z1_2,Z1_3,Z1_2,,DC,1.0,True,0,inf,3500.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z2-Z1_3,Z2,Z1_3,,DC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z7-Z2,Z7,Z2,,DC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z9-Z3,Z9,Z3,,DC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z1_4-Z1_2,Z1_4,Z1_2,,AC,1.0,True,0,inf,2000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z1_4-Z1_3,Z1_4,Z1_3,,AC,1.0,True,0,inf,3000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z2-Z1_4,Z2,Z1_4,,AC,1.0,True,0,inf,4000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z3-Z2,Z3,Z2,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z4-Z3,Z4,Z3,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z5-Z3,Z5,Z3,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z6-Z5,Z6,Z5,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z7-Z6,Z7,Z6,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z8-Z7,Z8,Z7,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z9-Z7,Z9,Z7,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z9-Z8,Z9,Z8,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z10-Z8,Z10,Z8,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z11-Z9,Z11,Z9,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z11-Z10,Z11,Z10,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z12-Z10,Z12,Z10,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z12-Z11,Z12,Z11,,AC,1.0,True,0,inf,8000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z13-Z11,Z13,Z11,,AC,1.0,True,0,inf,5000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z13-Z12,Z13,Z12,,AC,1.0,True,0,inf,5000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z14-Z12,Z14,Z12,,AC,1.0,True,0,inf,10000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z15-Z12,Z15,Z12,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z15-Z14,Z15,Z14,,AC,1.0,True,0,inf,10000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z16-Z13,Z16,Z13,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z16-Z14,Z16,Z14,,AC,1.0,True,0,inf,10000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z16-Z15,Z16,Z15,,AC,1.0,True,0,inf,6000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z17-Z13,Z17,Z13,,AC,1.0,True,0,inf,4000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
Z17-Z16,Z17,Z16,,AC,1.0,True,0,inf,4000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,,
IC_Britned,Z15,HVDC_External_Netherlands_Maasvlakte,,DC,1.0,True,0,inf,1000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,Britned,Netherlands,2011.0,ESPENI_historical,fixed
IC_IFA,Z15,HVDC_External_France_Calais,,DC,1.0,True,0,inf,1988.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,IFA,France,1986.0,ESPENI_historical,fixed
IC_IFA2,Z16,HVDC_External_France_Calais,,DC,1.0,True,0,inf,1000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,IFA2,France,2021.0,ESPENI_historical,fixed
IC_Nemo Link,Z15,HVDC_External_Belgium_Zeebrugge,,DC,1.0,True,0,inf,1020.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,Nemo Link,Belgium,2019.0,ESPENI_historical,fixed
IC_ElecLink,Z15,HVDC_External_France_Calais,,DC,1.0,True,0,inf,1000.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,ElecLink,France,2022.0,ESPENI_historical,fixed
IC_East West Interconnector,Z9,HVDC_External_Ireland_Rush_North_Beach,,DC,1.0,True,0,inf,505.0,0.0,False,0.0,inf,,,,-1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,East West Interconnector,Ireland,,ESPENI_historical,fixed
