name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
Dinorwig_0,Z9,PQ,,1728.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Pumped Storage Hydroelectricity,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,8985.6,False,,False,False,8.0,0.87,0.9,0.0,0.0,0.0,-3.01,53.386
Ffestiniog_1,Z9,PQ,,360.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Pumped Storage Hydroelectricity,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1872.0,False,,False,False,8.0,0.87,0.9,0.0,0.0,0.0,-3.01,53.386
Cruachan_2,Z3,PQ,,440.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Pumped Storage Hydroelectricity,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,2288.0,False,,False,False,8.0,0.87,0.9,0.0,0.0,0.0,-4.05,56.442
Foyers_3,Z1_4,PQ,,300.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Pumped Storage Hydroelectricity,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1560.0,False,,False,False,8.0,0.87,0.9,0.0,0.0,0.0,-5.2,57.119
Willersey_solar_farm__18,Z11,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-1.647,52.569
Oxcroft_Solar_Farm_24,Z10,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.383,53.136
Western_International_Market_WIM_Site_25,Z14,PQ,,0.2,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,0.2,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.157,51.536
Salcey_Solar_Farm_26,Z11,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-1.647,52.569
Cleveland_Potash_27,Z8,PQ,,6.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,6.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-1.164,53.914
Pelham_29,Z12,PQ,,49.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,0.4507,52.254
Berry_Court_Solar_Farm___energy_storage_30,Z16,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.725,51.039
Dorking_Battery_Energy_Storage_System_32,Z16,PQ,,6.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,6.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.725,51.039
Broxburn__33,Z5,PQ,,20.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,20.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-3.83,55.777
Land_to_the_west_of_Clay_Hill_Pit___Larport_Farm_34,Z13,PQ,,20.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,20.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-2.946,51.817
Bumpers_Lane_Solar_Farm__36,Z14,PQ,,13.3,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,13.3,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.157,51.536
Hill_Farm___Energy_Barn_37,Z11,PQ,,10.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,10.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-1.647,52.569
Kings_Barn_Farm___Energy_Barn_38,Z16,PQ,,10.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,10.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.725,51.039
Noriker_Power_Staunch_40,Z9,PQ,,20.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,20.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-3.01,53.386
West_Burton_41,Z10,PQ,,49.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-0.383,53.136
Tynemouth_Energy_Storage_System_TESS_42,Z7,PQ,,25.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,25.0,False,,False,False,2.0,0.95,0.95,0.001,0.0,0.0,-2.186,54.884
