name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,lon,lat,data_source,region,country,source
FES_large_hydro_Chesterfield_2035,Z10,PQ,,0.006,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.387,53.224,,,,
FES_large_hydro_Stoke_Bardolph_2035,Z10,PQ,,0.581,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.051,52.96,,,,
FES_large_hydro_Berkswell_2035,Z11,PQ,,0.017,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.614,52.387,,,,
FES_large_hydro_Bishops_Wood_2035,Z11,PQ,,0.315,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.243,52.312,,,,
FES_large_hydro_Bushbury_2035,Z11,PQ,,0.003,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.115,52.636,,,,
FES_large_hydro_Cellarhead_2035,Z11,PQ,,0.022,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.086,53.041,,,,
FES_large_hydro_Drakelow_2035,Z11,PQ,,0.08,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.649,52.773,,,,
FES_large_hydro_Feckenham_2035,Z11,PQ,,0.425,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.972,52.252,,,,
FES_large_hydro_Grendon_2035,Z11,PQ,,0.064,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.726,52.243,,,,
FES_large_hydro_Rugeley_2035,Z11,PQ,,0.003,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.913,52.754,,,,
FES_large_hydro_Willington_2035,Z11,PQ,,0.856,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.549,52.856,,,,
FES_large_hydro_Eaton_Socon_2035,Z12,PQ,,0.049,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.303,52.215,,,,
FES_large_hydro_Norwich_Main_2035,Z12,PQ,,0.024,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,1.272,52.573,,,,
FES_large_hydro_Iron_Acton_2035,Z13,PQ,,0.097,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.481,51.569,,,,
FES_large_hydro_Margam_Grange_66kV_2035,Z13,PQ,,0.015,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,large_hydro,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.754,51.56,,,,
