snapshot,load_Z11,load_Z12,load_Z13,load_Z14,load_Z15,load_Z16,load_Z17,load_Z1_4,load_Z2,load_Z3,load_Z5,load_Z6,load_Z7,load_Z8,load_Z9,load_Z10,load_Z1_1,load_Z1_2,load_Z1_3,load_Z4
01/01/2035 00:00,3075.562679,5702.6058,1153.336005,4805.566686,3203.711124,3075.562679,961.1133371,384.4453348,576.6680023,320.3711124,2050.375119,320.3711124,704.8164472,3203.711124,7817.055142,0,0,0,0,0
01/01/2035 01:00,3026.186002,5611.053212,1134.819751,4728.415628,3152.277086,3026.186002,945.6831257,378.2732503,567.4098754,315.2277086,2017.457335,315.2277086,693.5009588,3152.277086,7691.556089,0,0,0,0,0
01/01/2035 02:00,2885.459752,5350.123289,1082.047407,4508.530862,3005.687241,2885.459752,901.7061724,360.6824689,541.0237034,300.5687241,1923.639834,300.5687241,661.2511931,3005.687241,7333.876869,0,0,0,0,0
01/01/2035 03:00,2807.937825,5206.384717,1052.976684,4387.402851,2924.935234,2807.937825,877.4805702,350.9922281,526.4883421,292.4935234,1871.95855,292.4935234,643.4857515,2924.935234,7136.841971,0,0,0,0,0
01/01/2035 04:00,2688.443001,4984.821397,1008.166125,4200.692189,2800.461459,2688.443001,840.1384377,336.0553751,504.0830626,280.0461459,1792.295334,280.0461459,616.101521,2800.461459,6833.12596,0,0,0,0,0
01/01/2035 05:00,2717.677042,5039.026182,1019.128891,4246.370378,2830.913585,2717.677042,849.2740756,339.7096303,509.5644454,283.0913585,1811.784695,283.0913585,622.8009888,2830.913585,6907.429148,0,0,0,0,0
01/01/2035 06:00,2835.157602,5256.854721,1063.184101,4429.933754,2953.289169,2835.157602,885.9867508,354.3947003,531.5920505,295.3289169,1890.105068,295.3289169,649.7236172,2953.289169,7206.025573,0,0,0,0,0
01/01/2035 07:00,2867.33138,5316.510266,1075.249267,4480.205281,2986.80352,2867.33138,896.0410561,358.4164225,537.6246337,298.680352,1911.554253,298.680352,657.0967745,2986.80352,7287.80059,0,0,0,0,0
01/01/2035 08:00,2959.660865,5487.704521,1109.872825,4624.470102,3082.980068,2959.660865,924.8940205,369.9576082,554.9364123,308.2980068,1973.107244,308.2980068,678.255615,3082.980068,7522.471366,0,0,0,0,0
01/01/2035 09:00,3232.620796,5993.817726,1212.232798,5050.969994,3367.313329,3232.620796,1010.193999,404.0775995,606.1163992,336.7313329,2155.080531,336.7313329,740.8089324,3367.313329,8216.244523,0,0,0,0,0
