name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,country
Z10,400.0,,508272.45266145526,361090.0044083021,AC,,,1.0,0.0,inf,PQ,,,GB
Z11,400.0,,424022.3766653057,296853.70204129984,AC,,,1.0,0.0,inf,PQ,,,GB
Z12,400.0,,567375.2989019476,264585.71916891105,AC,,,1.0,0.0,inf,PQ,,,GB
Z13,400.0,,334888.00737890054,213575.3189308028,AC,,,1.0,0.0,inf,PQ,,,GB
Z14,400.0,,527920.5522077255,183508.83343957504,AC,,,1.0,0.0,inf,PQ,,,GB
Z15,400.0,,597049.1933092832,160779.06402998295,AC,,,1.0,0.0,inf,PQ,,,GB
Z16,400.0,,489487.3337758003,127400.68434719127,AC,,,1.0,0.0,inf,PQ,,,GB
Z17,400.0,,287169.7701989407,96490.68420332304,AC,,,1.0,0.0,inf,PQ,,,GB
Z1_1,400.0,,442009.4103511915,1166133.9744113714,AC,,,1.0,0.0,inf,PQ,,,GB
Z1_2,400.0,,114059.41313645261,905204.3376681346,AC,,,1.0,0.0,inf,PQ,,,GB
Z1_3,400.0,,256554.2467453515,915705.2421527767,AC,,,1.0,0.0,inf,PQ,,,GB
Z1_4,400.0,,206361.78889434165,807665.8850640946,AC,,,1.0,0.0,inf,PQ,,,GB
Z2,400.0,,329189.9812353852,810742.7428208314,AC,,,1.0,0.0,inf,PQ,,,GB
Z3,400.0,,273713.9974494493,729643.6829095593,AC,,,1.0,0.0,inf,PQ,,,GB
Z4,400.0,,169639.48438924074,660080.5609708203,AC,,,1.0,0.0,inf,PQ,,,GB
Z5,400.0,,285312.1190201357,655258.1149113546,AC,,,1.0,0.0,inf,PQ,,,GB
Z6,400.0,,305857.34128236386,597651.0468769186,AC,,,1.0,0.0,inf,PQ,,,GB
Z7,400.0,,388165.7260969151,554376.0770847922,AC,,,1.0,0.0,inf,PQ,,,GB
Z8,400.0,,455011.41550451604,446749.44502837013,AC,,,1.0,0.0,inf,PQ,,,GB
Z9,400.0,,332920.97396146035,388157.6874917082,AC,,,1.0,0.0,inf,PQ,,,GB
GB_H2,1.0,,305808.2542357707,599822.9439458381,H2_gas,,,1.0,0.0,inf,PQ,,,
HVDC_External_Netherlands_Maasvlakte,400.0,,815766.9184565952,249665.8846533706,AC,,,1.0,0.0,inf,PQ,,,Netherlands
HVDC_External_France_Calais,400.0,,671107.4442501252,123964.33114329804,AC,,,1.0,0.0,inf,PQ,,,France
HVDC_External_Belgium_Zeebrugge,400.0,,762566.989208988,168493.65847998054,AC,,,1.0,0.0,inf,PQ,,,Belgium
HVDC_External_Norway,400.0,,856072.749105369,1079042.932600339,AC,,,1.0,0.0,inf,PQ,,,Norway
HVDC_External_Northern_Ireland,400.0,,146881.30396083792,544692.1008774715,AC,,,1.0,0.0,inf,PQ,,,Northern Ireland
HVDC_External_Denmark_Revsing,400.0,,1100879.091846928,677370.7457202923,AC,,,1.0,0.0,inf,PQ,,,Denmark
HVDC_External_Ireland_Rush_North_Beach,400.0,,128806.729761174,410176.28412866726,AC,,,1.0,0.0,inf,PQ,,,Ireland
HVDC_External_Ireland,400.0,,61413.42126541369,270657.196904625,AC,,,1.0,0.0,inf,PQ,,,Ireland
HVDC_External_Isle_Of_Man_Douglas,400.0,,237915.16169946044,475534.74048506015,AC,,,1.0,0.0,inf,PQ,,,Isle Of Man
