bus,CCGT,CHP,EU_import,OCGT,advanced_biofuel,biogas,biomass,gas_engine,geothermal,landfill_gas,large_hydro,load_shedding,marine,nuclear,oil,sewage_gas,solar_pv,waste_to_energy,wind_offshore,wind_onshore
HVDC_External_Belgium_Zeebrugge,0.0,0.0,2163.321376161748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Denmark_Revsing,0.0,0.0,2969.2646339474977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_France_Calais,0.0,0.0,8458.162400130443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland,0.0,0.0,1068.935268221099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,0.0,1071.0561715310616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Isle_Of_Man_Douglas,0.0,0.0,156.94684493722488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,0.0,5090.167943909995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Northern_Ireland,0.0,0.0,2067.880727213436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Norway,0.0,0.0,2969.2646339474977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z10,570.0,287.605,0.0,329.81666666666666,17.649993540347733,1334.62816047757,1023.3152056744553,366.575,11.0,25.019207971205343,0.587,10.0,0.0,416.66666666666663,6.541666666666666,0.0,4276.788558186453,2139.306983585484,24436.417026691484,230.68781721286572
Z11,570.0,4.725,0.0,49.916666666666664,111.96376270380095,30.52802440523221,329.00827570930693,8.575,0.0,88.25582995347206,1.785,6315.794124561513,0.0,416.66666666666663,6.541666666666666,11.132399877095954,7889.768856053815,337.9396890141402,0.0,624.7314370878872
Z12,570.0,4.725,0.0,49.916666666666664,0.0,56.35060143973313,467.3928876391499,8.575,0.0,43.03762839083488,0.07300000000000001,11710.53493929114,0.0,416.66666666666663,6.541666666666666,1.3772041085067162,8644.581470464433,145.08570033620092,3455.41341470769,873.6601436595199
Z13,570.0,4.725,0.0,49.916666666666664,53.05826279000238,33.85626766745677,451.78942709213084,8.575,0.0,56.23583443069091,77.244,2368.422796710567,183.858,416.66666666666663,6.541666666666666,7.689389605829165,9331.332299791668,120.99204612874517,0.0,1553.0918498370024
Z14,570.0,4.725,0.0,49.916666666666664,21.872998129756084,42.349026336581524,409.5702094149432,8.575,0.0,152.4105880080766,5.045,9868.428319627363,0.0,416.66666666666663,6.541666666666666,27.085014133965416,5146.653493719166,424.15306906951446,0.0,86.11263082911128
Z15,570.0,4.725,0.0,49.916666666666664,0.0,3.6725442893512428,355.6456892732673,8.575,0.0,65.7614961811957,0.05,6578.952213084909,0.0,416.66666666666663,6.541666666666666,0.0,4003.1340658598765,105.69781345792543,9316.435125674869,389.2937820021186
Z16,570.0,4.725,0.0,49.916666666666664,14.401528471572075,22.95340180844527,316.3392619410819,8.575,0.0,68.51590439820913,34.090999999999994,6315.794124561513,0.0,416.66666666666663,6.541666666666666,0.0,5927.245954891229,71.54767749431424,1736.366622587954,79.41895148668512
Z17,570.0,4.725,0.0,49.916666666666664,4.223004589408353,23.297702835571947,312.87423253438783,8.575,0.0,33.052898604161186,11.542,1973.6856639254727,87.5,416.66666666666663,6.541666666666666,0.0,8615.042848108453,66.30992657964995,0.109,624.899624489863
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,844.8069102278321
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,10.0,0.0,0.0,0.0,0.0,49.198,0.0,0.0,328.0614666357873
Z1_3,0.0,0.0,0.0,0.0,0.0,0.0,9.203984361531026,0.0,0.0,0.0,32.738,10.0,57.14285714285713,0.0,0.0,0.0,194.36283185840708,0.0,8333.544900883688,2988.0177340126797
Z1_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.4364817275746,789.4742655701891,0.0,0.0,0.0,0.0,131.09811279229712,0.0,0.0,1467.764832498625
Z2,0.0,0.0,0.0,0.0,0.0,8.033690632955844,23.82207717102148,0.0,0.0,12.280069967518218,59.579,1184.2113983552836,0.0,0.0,0.0,0.0,1971.2719948266,11.627807030554731,27862.02173632356,3329.828984841103
Z3,0.0,45.33333333333333,0.0,0.0,0.0,3.0978384689667284,303.7196049617113,0.0,0.0,3.3282432622245635,327.91151827242527,657.8952213084908,0.0,0.0,0.0,0.0,864.2459933975241,26.81728468308118,0.0,1523.5757664958123
Z4,0.0,45.33333333333333,0.0,0.0,0.0,1.3763333333333332,218.93466666666666,0.0,0.0,0.0,29.146,10.0,0.0,0.0,0.0,0.0,116.295,0.0,0.0,1553.4880665240723
Z5,0.0,45.33333333333333,0.0,0.0,72.00764235786038,25.133104205074186,304.0444514685888,0.0,0.0,81.94364445614961,8.681,4210.529416374342,0.0,0.0,0.0,0.0,1072.667067125172,105.06928334816573,79.53336279275298,7751.742495093731
Z6,570.0,4.725,0.0,49.916666666666664,10.828216895918853,9.41089474146256,418.8824759454334,8.575,0.0,4.246379334562374,152.702,657.8952213084908,0.0,416.66666666666663,6.541666666666666,0.0,566.2652524345002,0.0,755.3194808257599,2439.5511137854223
Z7,570.0,4.725,0.0,49.916666666666664,0.0,23.87153788078308,876.1580754600866,8.575,0.0,36.151607848301296,8.520999999999999,1447.36948687868,0.0,416.66666666666663,6.541666666666666,6.886020542533581,2166.1474188910124,86.21338005537427,498.46786359463306,1337.0602425831405
Z8,570.0,4.725,0.0,49.916666666666664,27.070542239797135,45.906803616890535,3323.7682226135844,8.575,0.0,47.857842770608386,13.154,6578.952213084909,0.0,416.66666666666663,6.541666666666666,3.4430102712667905,3798.277627508054,320.9693760506279,67.315,1533.050768149383
Z9,570.0,4.725,0.0,49.916666666666664,53.59967363479833,31.216626459485564,392.4616267193914,8.575,0.0,143.22922728469848,101.983,16052.643399927176,0.0,416.66666666666663,6.541666666666666,0.0,4421.489154091327,275.81996316622167,12012.258465917612,1562.3773825473595
