carrier,MTTF_hours,MTTR_hours
CCGT,1011,60
OCGT,1011,60
nuclear,5057,300
biomass,836,60
waste_to_energy,836,60
oil,1182,100
coal,1182,100
EU_import,4000,48
load_shedding,1000000,1
wind_onshore,1000000,1
wind_offshore,1000000,1
solar_pv,1000000,1
embedded_wind,1000000,1
embedded_solar,1000000,1
small_hydro,1231,80
large_hydro,3025,100
tidal_stream,3192,168
shoreline_wave,3192,168
landfill_gas,908,60
biogas,1011,60
sewage_gas,1011,60
advanced_biofuel,836,60
marine,3192,168
CHP,1011,60
gas_engine,1011,60
geothermal,1672,120
H2_turbine,1011,60
H2_store,1000000,1
