name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Bredbury_2035_0,Z9,PQ,,118.2,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,118.2,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Harker_2035_1,Z6,PQ,,9.5,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,9.5,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.483,55.264
FES_Battery_Heysham_NGET_2035_2,Z9,PQ,,75.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,75.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Hutton_2035_3,Z7,PQ,,10.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,10.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-2.186,54.884
FES_Battery_Kearsley_132kV_2035_4,Z9,PQ,,49.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Kearsley_33kV_2035_5,Z9,PQ,,7.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,7.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Macclesfield_2035_6,Z9,PQ,,20.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,20.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Padiham_2035_7,Z9,PQ,,8.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,8.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Penwortham_East_2035_8,Z9,PQ,,77.18,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,77.18,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
FES_Battery_Penwortham_West_2035_9,Z9,PQ,,13.095,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,13.095,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.01,53.386
